Unique ID,Brand,Model,Case Size,Case Material,Dial,Reference Number,Movement,Bezel,Bezel Colour,Bezel Numbers,Complication ID,Included Bracelet ID,Closing Mechanism,Closing Mechanism Material,Price,Hour Markers,Hour Marker Colour,Style,Exclusivity,Edition,Image Table
AP/RO.OW.DBW/41/YG,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Yellow Gold,Black,15407BA.OO.1220BA.01,Calibre 3132,Smooth,Black,,SKEL.BLK,YG/I,Folding Clasp,Yellow Gold,$101 100,Indices,Yellow Gold and White,Dress,High,,
AP/RO.OW.DBW/41/ST/RG,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Stainless Steel,Rose Gold,15407ST.OO.1220ST.02,Calibre 3132,Smooth,Rose Gold,,SKEL.RG,ST/I,Folding Clasp,Stainless Steel,$76 400,Indices,White Gold and White,Dress,High,,
AP/RO.OW.DBW/41/C.BLK/BLK,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Black ; Ceramic,Black,15416CE.OO.1225CE.01,Calibre 3133,Smooth,Black,,SKEL.BLK,CER/I/BLK,Folding Clasp,Black ; Ceramic,$101 100,Indices,Rose Gold and White,Dress,High,,
AP/RO.OW.DBW/41/C.BLK/RG,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Black ; Ceramic,Rose Gold,15416CE.OO.1225CE.02,Calibre 3134,Smooth,Rose Gold,,SKEL.RG,CER/I/BLK,Folding Clasp,Black ; Ceramic,$101 100,Indices,Black and White,Dress,VIP,Limited 150,
AP/RO.OW.DBW/41/WG.F/SIL,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Frosted ; White Gold,Silver,15466BC.GG.1259BC.01,Calibre 3135,Smooth,Silver,,SKEL.SIL,FWG/I,Folding Clasp,Frosted ; White Gold,$100 000,Indices,Rose Gold and White,Dress,High,,
AP/RO.OW.DBW/37/WG/SIL,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,37,White Gold,Silver,15467BC.OO.1256BC.01,Calibre 3136,Smooth,Silver,,SKEL.SIL,WG/I,Folding Clasp,White Gold,$98 100,Indices,Rose Gold and White,Dress,High,,
AP/RO.OW.DBW/37/RG/RG,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,37,Rose Gold,Rose Gold,15467OR.OO.1256OR.02,Calibre 3137,Smooth,Rose Gold,,SKEL.RG,RG/I,Folding Clasp,Rose Gold,$98 100,Indices,White Gold and White,Dress,High,,
AP/RO.OW.DBW/41/WG.F/BLK,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Frosted ; White Gold,Black,15407BC.GG.1224BC.01,Calibre 3138,Smooth,Black,,SKEL.BLK,FWG\I,Folding Clasp,Frosted ; White Gold,Out Of Production,Indices,Rose Gold and White,Dress,Out Of Production,,
AP/RO.OW.DBW/41/RG,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Rose Gold,Black,15407OR.OO.1220OR.01,Calibre 3139,Smooth,Black,,SKEL.BLK,RG/I,Folding Clasp,Rose Gold,Out Of Production,Indices,Rose Gold and White,Dress,Out Of Production,,
AP/RO.OW.DBW/41/ST/BLK,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,Stainless Steel,Black,15407ST.OO.1220ST.01,Calibre 3140,Smooth,Black,,SKEL.BLK,ST/I,Folding Clasp,Stainless Steel,Out Of Production,Indices,Rose Gold and White,Dress,Out Of Production,,
AP/RO.OW.DBW/41/C.WHT,Audemars Piguet,Royal Oak Openworked Double Balance Wheel,41,White ; Ceramic,Silver,15416CB.OO.1225CB.01,Calibre 3141,Smooth,Silver,,SKEL.SIL,CER/I/WHT,Folding Clasp,White ; Ceramic,Out Of Production,Indices,White Gold and White,Dress,Out Of Production,Limited 30,
AP/RO.OW.JET/YG,Audemars Piguet,Royal Oak Openworked Jumbo Extra Thin,41,Yellow Gold,Yellow Gold,16204BA.OO.1240BA.01,Calibre 7124,Smooth,Yellow Gold,,SKEL.CHM ; UT,YG/I,Folding Clasp,Yellow Gold,Price on Request,Indices,White Gold and White,Dress,High,,
AP/RO.OW.JET/WG,Audemars Piguet,Royal Oak Openworked Jumbo Extra Thin,41,White Gold,Silver,16204BC.OO.1240BC.01,Calibre 7124,Smooth,Black,,SKEL.WG ; UT,WG/I,Folding Clasp,Silver,Price on Request,Indices,White Gold and White,Dress,High,,
AP/RO.PC/C.BLU,Audemars Piguet,Royal Oak Perpetual Calendar,41,Blue ; Ceramic,Blue,26579CS.OO.1225CS.01,Calibre 5134,Smooth,Blue ; Ceramic,,PC.BLU,CER/I/BLU,Folding Clasp,Blue ; Ceramic,Price on Request,Indices,White Gold and White,Dress,Medium-High,,
AP/RO.PC/T/BLU,Audemars Piguet,Royal Oak Perpetual Calendar,41,Titanium,Blue,26585XT.OO.1220XT.01,Calibre 5135,Smooth,Titanium,,SKEL.SIL ; PC.BLU,TIT/I,Folding Clasp,Titanium,Price on Request,Indices,White Gold and White,Dress,Medium-High,Limited 150,
AP/RO.PC/RG/SIL,Audemars Piguet,Royal Oak Perpetual Calendar,41,Rose Gold,Silver,26574OR.OO.1220OR.02,Calibre 5134,Smooth,Rose Gold,,PC.BLU,RG/I,Folding Clasp,Rose Gold,Out Of Production,Indices,Rose Gold and White,Dress,Out Of Production,,
AP/RO.PC/ST/BLU,Audemars Piguet,Royal Oak Perpetual Calendar,41,Stainless Steel,Blue,26574ST.OO.1220ST.02,Calibre 5134,Smooth,Stainless Steel,,PC.BLU,ST/I,Folding Clasp,Stainless Steel,Out Of Production,Indices,White Gold and White,Dress,Out Of Production,,
AP/RO.PC/C.WHT,Audemars Piguet,Royal Oak Perpetual Calendar,41,White ; Ceramic,Blue,26579CB.OO.1225CB.01,Calibre 5134,Smooth,White ; Ceramic,,PC.WHT,CER/I/WHT,Folding Clasp,White ; Ceramic,Out Of Production,Indices,White Gold and White,Dress,Out Of Production,,
AP/RO.CHR/41/C.BLK/BLK,Audemars Piguet,Royal Oak Chronograph,41,Black ; Ceramic,Black,26240CE.OO.1225CE.02,Calibre 4401,Smooth,Black,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,CER/I/BLK,Folding Clasp,Black ; Ceramic,$78 200,Indices,Rose Gold and White,Casual,Medium,,
AP/RO.CHO/41/RG/GRN,Audemars Piguet,Royal Oak Chronograph,41,Rose Gold,Green,26240OR.OO.1320OR.08,Calibre 4401,Smooth,Rose Gold,,DATE.OGRN ; CHRONO.OGRN.FULL ; SS.OGRN,RG/I ; LTH/GTR/GRN,Folding Clasp,Rose Gold,$78 200,Indices,Rose Gold and White,Casual,Medium,,
AP/RO.CHO/41/RG/BLU,Audemars Piguet,Royal Oak Chronograph,41,Rose Gold,Blue,26240OR.OO.1320OR.05,Calibre 4401,Smooth,Rose Gold,,DATE.BLU ; CHRONO.BLU.FULL ; SS.BLU,RG/I ; LTH/GTR/BLU,Folding Clasp,Rose Gold,$78 200,Indices,Rose Gold and White,Casual,Medium,,
AP/RO.CHO/41/ST/BLU,Audemars Piguet,Royal Oak Chronograph,41,Stainless Steel,Blue,26240ST.OO.1320ST.05,Calibre 4401,Smooth,Stainless Steel,,DATE.BLU ; CHRONO.BLU.FULL ; SS.BLU,ST/I,Folding Clasp,Stainless Steel,$38 500,Indices,White Gold and White,Casual,Medium,,
AP/RO.CHO/41/ST/WHT,Audemars Piguet,Royal Oak Chronograph,41,Stainless Steel,White,26240ST.OO.1320ST.07,Calibre 4401,Smooth,Stainless Steel,,DATE.WHT ; CHRONO.WHT.FULL ; SS.WHT.FULL,ST/I,Folding Clasp,Stainless Steel,$38 500,Indices,White Gold and White,Casual,Medium,,
AP/RO.CHO/41/ST/BLK,Audemars Piguet,Royal Oak Chronograph,41,Stainless Steel,Black,26240ST.OO.1320ST.06,Calibre 4401,Smooth,Stainless Steel,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,ST/I,Folding Clasp,Stainless Steel,$38 500,Indices,White Gold and White,Casual,Medium,,
AP/RO.CHO/38/WG/BLUDIA,Audemars Piguet,Royal Oak Chronograph,38,White Gold,Blue,26715BC.ZZ.1356BC.01,Calibre 4401,Smooth,Diamond,,DATE.DBLU ; CHRONO.DBLU.FULL ; SS.DBLU.FULL,WG/I,Folding Clasp,White Gold,Price on Request,Diamond,Diamond,Dress,High,,
AP/RO.CHO/38/RG/PRPAMY,Audemars Piguet,Royal Oak Chronograph,38,Rose Gold,Purple,26319OR.AY.1256OR.01,Calibre 4401,Smooth,Purple ; Amethyst,,DATE.LPRP ; CHRONO.LPRP.FULL ; SS.LPRP.FULL,RG/I,Folding Clasp,Rose Gold,$95 900,Indices,Rose Gold and White,Dress,High,,
AP/RO.CHO/38/RG/BLKDIA,Audemars Piguet,Royal Oak Chronograph,38,Rose Gold,Black,26715OR.ZZ.1356OR.02,Calibre 4401,Smooth,Diamond,,DATE.BLK ; CHRONO.RG.OUT ; SS.RG.OUT,RG/I,Folding Clasp,Rose Gold,Price on Request,Indices,Diamond,Dress,High,,
AP/RO.CHO/41/WG/BLU,Audemars Piguet,Royal Oak Chronograph,41,White Gold,Blue,26239BC.OO.1220BC.01,Calibre 4401,Smooth,White Gold,,DATE.BLU ; CHRONO.BLU.FULL ; SS.BLU,WG/I,Folding Clasp,White Gold,Out of Production,Indices,White Gold and White,Casual,Out of Production,Limited 222,
AP/RO.CHO/41/RG/BLU.RG,Audemars Piguet,Royal Oak Chronograph,41,Rose Gold,Blue,26239OR.OO.1220OR.01,Calibre 4401,Smooth,Rose Gold,,DATE.BLU ; CHRONO.RG.FULL ; SS.RG.FULL,RG/I,Folding Clasp,Rose Gold,Out of Production,Indices,Rose Gold and White,Casual,Out of Production,,
AP/RO.CHO/41/RG/WHT,Audemars Piguet,Royal Oak Chronograph,41,Rose Gold,White,26240OR.OO.1320OR.07,Calibre 4401,Smooth,Rose Gold,,DATE.WHT ; CHRONO.WHT.FULL ; SS.WHT.FULL,RG/I,Folding Clasp,Rose Gold,Out of Production,Indices,Rose Gold and White,Casual,Out of Production,,
AP/RO.CHO/41/F.WG/PRP,Audemars Piguet,Royal Oak Chronograph,41,Frosted ; White Gold,Purple,26331BC.GG.1224BC.01,Calibre 4401,Smooth,Frosted ; White Gold,,DATE.PRP ; CHRONO.SIL.FULL ; SS.SIL.FULL,FWG/I,Folding Clasp,Frosted ; White Gold,Out of Production,Indices,White Gold and White,Casual,Out of Production,Limited 200,
AP/RO.CHO/41/ST/BLU,Audemars Piguet,Royal Oak Chronograph,41,Stainless Steel,Blue,26331ST.OO.1220ST.01,Calibre 4401,Smooth,Stainless Steel,,DATE.BLU ; CHRONO.SIL.FULL ; SS.SIL.FULL,ST/I,Folding Clasp,Stainless Steel,Out of Production,Indices,White Gold and White,Casual,Out of Production,,
AP/RO.CHO/41/ST/BLK,Audemars Piguet,Royal Oak Chronograph,41,Stainless Steel,Black,26331ST.OO.1220ST.02,Calibre 4401,Smooth,Stainless Steel,,DATE.BLK ; CHRONO.SIL.FULL ; SS.SIL.FULL,ST/I,Folding Clasp,Stainless Steel,Out of Production,Indices,White Gold and White,Casual,Out of Production,,
AP/RO.CHO/41/YG/GRN,Audemars Piguet,Royal Oak Chronograph,41,Yellow Gold,Green,26331BA.OO.1220BA.02,Calibre 4401,Smooth,Yellow Gold,,DATE.GRN ; CHRONO.GRN.FULL ; SS.GRN.FULL,YG/I,Folding Clasp,Yellow Gold,Out of Production,Indices,Yellow Gold and White,Casual,Out of Production,,
AP/RO.CHO/41/YG/BLU,Audemars Piguet,Royal Oak Chronograph,41,Yellow Gold,Blue,26331BA.OO.1220BA.01,Calibre 4401,Smooth,Yellow Gold,,DATE.BLU ; CHRONO.YG.FULL ; SS.YG.FULL,YG/I,Folding Clasp,Yellow Gold,Out of Production,Indices,Yellow Gold and White,Casual,Out of Production,,
AP/RO/41/RTT/WHT,Audemars Piguet,Royal Oak,41,Rose Two-Tone,White,15400SR.OO.1220SR.01,Calibre 4302,Smooth,Rose Gold,,,RTT/I,Folding Clasp,Rose Two-Tone,Out of Production,Indices,Rose Gold and White,Casual,Out of Production,,
AP/RO/41/WG/BLU,Audemars Piguet,Royal Oak,41,White Gold,Blue,15503BC.OO.1220BC.01,Calibre 4302,Smooth,White Gold,,,WG/I,Folding Clasp,White Gold,Out of Production,Indices,White Gold and White,Casual,Out of Production,Limited 300,
AP/RO/41/WG/ICEBLU,Audemars Piguet,Royal Oak,41,White Gold,Ice Blue,15510BC.OO.1320BC.01,Calibre 4302,Smooth,White Gold,,,WG/I,Folding Clasp,White Gold,Out of Production,Indices,White Gold and White,Casual,Out of Production,Limited 100,
AP/RO/41/RG/BLU,Audemars Piguet,Royal Oak,41,Rose Gold,Blue,15510OR.OO.1320OR.03,Calibre 4302,Smooth,Rose Gold,,,RG/I,Folding Clasp,Rose Gold,$65 800,Indices,Rose Gold and White,Casual,Medium-High,,
AP/RO/41/RG/BLK,Audemars Piguet,Royal Oak,41,Rose Gold,Black,15510OR.OO.1320OR.04,Calibre 4302,Smooth,Rose Gold,,,RG/I,Folding Clasp,Rose Gold,$65 800,Indices,Rose Gold and White,Casual,Medium-High,,
AP/RO/41/ST/BLU,Audemars Piguet,Royal Oak,41,Stainless Steel,Blue,15510ST.OO.1320ST.06,Calibre 4302,Smooth,Stainless Steel,,,ST/I,Folding Clasp,Stainless Steel,$28 600,Indices,White Gold and White,Casual,Low-Medium,,
AP/RO/41/ST/WHT,Audemars Piguet,Royal Oak,41,Stainless Steel,White,15510ST.OO.1320ST.08,Calibre 4302,Smooth,Stainless Steel,,,ST/I,Folding Clasp,Stainless Steel,$28 600,Indices,White Gold and White,Casual,Low-Medium,,
AP/RO/41/ST/GRY,Audemars Piguet,Royal Oak,41,Stainless Steel,Gray,15510ST.OO.1320ST.10,Calibre 4302,Smooth,Stainless Steel,,,ST/I,Folding Clasp,Stainless Steel,$28 600,Indices,White Gold and White,Casual,Low-Medium,,
AP/RO/41/ST/BLK,Audemars Piguet,Royal Oak,41,Stainless Steel,Black,15510ST.OO.1320ST.07,Calibre 4302,Smooth,Stainless Steel,,,ST/I,Folding Clasp,Stainless Steel,$28 600,Indices,White Gold and White,Casual,Low-Medium,,
AP/RO/37/F.YG/CHM,Audemars Piguet,Royal Oak,37,Frosted ; Yellow Gold,Champagne,15550BA.GG.1356BA.01,Calibre 4302,Smooth,Frosted ; Yellow Gold,,,FYG/I,Folding Clasp,Frosted ; Yellow Gold,$68 300,Indices,Rose Gold and White,Casual,Medium-High,,
AP/RO/37/YG/TRQ,Audemars Piguet,Royal Oak,37,Yellow Gold,Turquoise,15550BA.OO.1356BA.01,Calibre 4302,Smooth,Yellow Gold,,,YG/I,Folding Clasp,Yellow Gold,$63 300,Indices,Yellow Gold and White,Casual,Medium-High,,
AP/RO/37/RTT/WHT,Audemars Piguet,Royal Oak,37,Rose Two-Tone,White,15550SR.OO.1356SR.02,Calibre 4302,Smooth,Rose Gold,,,RTT/I,Folding Clasp,Rose Two-Tone,$32 100,Indices,Yellow Gold and White,Casual,Low-Medium,,
AP/ROO.CHR/43/C.BLK/BLUBLK,Audemars Piguet,Royal Oak Offshore Chronograph,43,Black ; Ceramic,Blue,26420CE.OO.A043VE.01,Calibre 4401,Smooth,Blue ; Ceramic,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,LTH/TXT/BLU ; RUB/S/BLK,Pinbuckle,Titanium,$58 400,Indices,White Gold and White,Sport,Low-Medium,,
AP/ROO.CHR/43/C.BLK/GRNBLK,Audemars Piguet,Royal Oak Offshore Chronograph,43,Black ; Ceramic,Green,26420CE.OO.A063VE.01,Calibre 4401,Smooth,Green ; Ceramic,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,LTH/TXT/GRN ; RUB/S/BLK,Pinbuckle,Titanium,$58 400,Indices,White Gold and White,Sport,Low-Medium,,
AP/ROO.CHR/43/C.BLK/BLK,Audemars Piguet,Royal Oak Offshore Chronograph,43,Black ; Ceramic,Black,26420CE.OO.A127CR.01,Calibre 4401,Smooth,Black ; Ceramic,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,LTH/GTR/BLK ; RUB/S/BLK,Pinbuckle,Yellow Gold,$60 900,Indices,Yellow Gold and Black,Sport,Low-Medium,,
AP/ROO.CHR/43/T/GRY,Audemars Piguet,Royal Oak Offshore Chronograph,43,Titanium,Gray,26420IO.OO.A009CA.01,Calibre 4401,Smooth,Gray ; Ceramic,,DATE.GRY ; CHRONO.BLU.FULL ; SS.BLU.FULL,RUB/S/GRY ; RUB/S/BLU,Pinbuckle,Titanium,$42 900,Indices,White Gold and White,Sport,Low-Medium,,
AP/ROO.CHR/43/ST/GRY,Audemars Piguet,Royal Oak Offshore Chronograph,43,Stainless Steel,Gray,26420SO.OO.A600CA.01,Calibre 4401,Smooth,Black ; Ceramic,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,RUB/S/GRY ; RUB/S/BLK,Pinbuckle,Stainless Steel,$42 900,Indices,White Gold and Black,Sport,Low-Medium,,
AP/ROO.CHR/42/T/BLUGRY,Audemars Piguet,Royal Oak Offshore Chronograph,42,Titanium,Blue,26480TI.OO.A027CA.01,Calibre 4401,Smooth,Titanium,,DATE.BLU ; CHRONO.SIL.FULL ; SS.GRY.FULL,RUB/S/BLU ; RUB/S/WHT,Pinbuckle,Titanium,Out of Production,Indices,White Gold and White,Sport,Out of Production,,
AP/ROO.CHR/42/RG/BLK,Audemars Piguet,Royal Oak Offshore Chronograph,42,Rose Gold,Black,26238OK.OO.A002CA.01,Calibre 4404,Smooth,Black ; Ceramic,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,RUB/S/BLK ; LTH/CLF/BLK,Pinbuckle,Rose Gold,$57 100,Arabic Numerals,Rose Gold and White,Sport,Low,,
AP/ROO.CHR/42/RG/BLU,Audemars Piguet,Royal Oak Offshore Chronograph,42,Rose Gold,Blue,26238OR.OO.2000OR.01,Calibre 4404,Smooth,Rose Gold,,DATE.BLU ; CHRONO.RG.FULL ; SS.RG.FULL,RG/I ; RUB/S/BLU,Folding Clasp,Rose Gold,$93 100,Indices,Rose Gold and White,Sport,Medium,,
AP/ROO.CHR/42/ST/BLK,Audemars Piguet,Royal Oak Offshore Chronograph,42,Stainless Steel,Black,26238TI.OO.2000TI.01,Calibre 4404,Smooth,Stainless Steel,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,ST/I ; RUB/S/BLK,Folding Clasp,Stainless Steel,$46 600,Indices,White Gold and White,Sport,Low,,
AP/ROO.CHR/42/YG/BLUARB,Audemars Piguet,Royal Oak Offshore Chronograph,42,Yellow Gold,Blue,26470BA.OO.1000BA.01,Calibre 4404,Smooth,Yellow Gold,,DATE.BLU ; CHRONO.YG.FULL ; SS.YG.FULL,YG/I ; RUB/S/BLU,Folding Clasp,Yellow Gold,Out of Production,Arabic Numerals,Yellow Gold and White,Sport,Out of Production,,
AP/ROO.CHR/42/YG/BLUIND,Audemars Piguet,Royal Oak Offshore Chronograph,42,Yellow Gold,Blue,25721BA.OO.1000BA.02.A,Calibre 4404,Smooth,Yellow Gold,,DATE.BLU ; CHRONO.YG.FULL ; SS.YG.FULL,YG/I,Folding Clasp,Yellow Gold,Out of Production,Indices,Yellow Gold and White,Sport,Out of Production,,
AP/ROO.CHR/44/C.BLK/BLK,Audemars Piguet,Royal Oak Offshore Chronograph,44,Black ; Ceramic,Black,26405NR.OO.A002CA.01.A,Calibre 4404,Smooth,Rose Gold,,DATE.BLK ; CHRONO.SIL.FULL ; SS.BLK.FULL,RUB/TXT/BLK,Pinbuckle,Rose Gold,Out of Production,Arabic Numerals,Rose Gold and White,Sport,Out of Production,,
AP/ROO.CHR/37/YG/BLU,Audemars Piguet,Royal Oak Offshore Chronograph,37,Yellow Gold,Blue,26236BA.YY.D346CA.01,Calibre 4404,Smooth,Sapphires ; Green ; Blue,,DATE.BLU ; CHRONO.BLU.FULL ; SS.BLU.FULL,RUB/S/BLU ; RUB/S/GRN,Folding Clasp,Yellow Gold,$114 200,Indices,Yellow Gold and Black,Casual,High,,
AP/ROO.CHR/37/RG/WHT,Audemars Piguet,Royal Oak Offshore Chronograph,37,Rose Gold,White,26236OR.SS.D010CA.01,Calibre 4404,Smooth,Sapphires ; Blue,,DATE.SIL ; CHRONO.SIL.FULL ; SS.SIL.FULL,RUB/S/WHT,Folding Clasp,Rose Gold,Out of Production,Indices,Rose Gold and White,Casual,Out of Production,Limited 10,
AP/ROO.MUS/42/BLK,Audemars Piguet,Royal Oak Offshore Music,42,Black ; Ceramic,Black,15600CE.OO.A002CA.01,Calibre 4309,Smooth,Black ; Ceramic,,,RUB/S/BLK ; RUB/S/LBLU ; RUB/S/GRN ; RUB/S/YEL,Pinbuckle,Titanium,Out of Production,Indices,Black and White,Casual,Out of Production,Limited 250,
AP/ROO.DIV/42/ST/WHT,Audemars Piguet,Royal Oak Offshore Diver,42,Stainless Steel,White,15710ST.OO.A010CA.01,Calibre 3120,Smooth,Stainless Steel,,DATE.WHT ; RB.WHT,RUB/S/WHT ; RUB/S/BLU,Pinbuckle,Stainless Steel,Out of Production,Indices,White Gold and Blue,Dive,Out of Production,,
AP/ROO.DIV/42/ST/PRP,Audemars Piguet,Royal Oak Offshore Diver,42,Stainless Steel,Purple,15710ST.OO.A077CA.01,Calibre 3120,Smooth,Stainless Steel,,DATE.PRP ; RB.PRP,RUB/S/PRP,Pinbuckle,Stainless Steel,Out of Production,Indices,White Gold and White,Dive,Out of Production,,
AP/ROO.DIV/42/RG/WHT,Audemars Piguet,Royal Oak Offshore Diver,42,Rose Gold,White,15711OI.OO.A006CA.01,Calibre 3120,Smooth,Titanium,,DATE.WHT ; RB.WHT,RUB/S/GRY,Pinbuckle,Rose Gold,Out of Production,Indices,Rose Gold and White,Dive,Out of Production,Limited 500,
AP/ROO.DIV/WG/RED,Audemars Piguet,Royal Oak Offshore Diver,42,White Gold,Red,15720CN.OO.A002CA.02,Calibre 3120,Smooth,Black ; Ceramic,,DATE.BLK ; RB.BLK,RUB/S/BLK ; LTH/CLF/BRN,Pinbuckle,White Gold,$68 300,Indices,Rose Gold and White,Dive,Medium-High,Limited 100,
AP/ROC/44/T/RED,Audemars Piguet,Royal Oak Concept,44,Titanium,Red,26589IO.OO.D500CA.01,Calibre 2954,Smooth,Black ; Ceramic,,GMT.RG,RUB/S/RED ; RUB/S/BLK,Folding Clasp,Titanium,Out of Production,Indices,White,Sport,Out of Production,Special,
AP/ROC/44/T/GRN,Audemars Piguet,Royal Oak Concept,44,Titanium,Green,26589IO.OO.D056CA.01,Calibre 2954,Smooth,Green ; Ceramic,,GMT.RG,RUB/S/GRN ; RUB/S/BLK,Folding Clasp,Titanium,Price on Request,Indices,White,Sport,VIP,,
AP/ROC/44/T/BLU,Audemars Piguet,Royal Oak Concept,44,Rose Gold,Blue,26589IO.OO.D030CA.01,Calibre 2954,Smooth,Black ; Ceramic,,GMT.WG,RUB/S/BLU ; RUB/S/BLK,Folding Clasp,Titanium,Out of Production,Indices,White,Sport,Out of Production,,
AP/ROC/44/T/SIL,Audemars Piguet,Royal Oak Concept,44,Titanium,Silver,26589RO.OO.D006CA.01,Calibre 2954,Smooth,Black ; Ceramic,,GMT.RG,RUB/S/GRY ; LTH/GTR/GRY,Folding Clasp,Titanium,Out of Production,Indices,White,Sport,Out of Production,Limited 20,
AP/ROC/44/T/SIL,Audemars Piguet,Royal Oak Concept,44,Titanium,,26580IO.OO.D010CA.01,Calibre 2954,Smooth,White ; Ceramic,,GMT.BLK,RUB/S/GRY ; LTH/GTR/GRY,Folding Clasp,Titanium,Out of Production,Indices,White,Sport,Out of Production,Limited 20,
VC/OS.CHR/RG/GRN,Vacheron Constantin,Overseas Chronograph,42.5,Rose Gold,Green,5520V/210R-B966,Calibre 5200,Smooth,Rose Gold,,DATE.WHT ; CHRONO.OGRN.FULL ; SS.OGRN.FULL,RG/S ; RUB/TXT/OGRN ; LTH/CLF/OGRN,Folding Clasp,Rose Gold,$79 500,Indices,Rose Gold and White,,,,
VC/OS.CHR/RG/BLU,Vacheron Constantin,Overseas Chronograph,42.5,Rose Gold,Blue,5520V/210R-B952,Calibre 5200,Smooth,Rose Gold,,DATE.WHT ; CHRONO.BLU.FULL ; SS.BLU.FULL,RG/S ; RUB/TXT/BLU ; LTH/CLF/BLU,Folding Clasp,Rose Gold,$79 500,Indices,Rose Gold and White,,,,
VC/OS.CHR/ST/BLU,Vacheron Constantin,Overseas Chronograph,42.5,Stainless Steel,Blue,5520V/210A-B148,Calibre 5200,Smooth,Stainless Steel,,DATE.WHT ; CHRONO.BLU.FULL ; SS.BLU.FULL,ST/S ; RUB/TXT/BLU ; LTH/CLF/BLU,Folding Clasp,Stainless Steel,$35 600,Indices,White Gold and White,,,,
VC/OS.CHR/ST/SIL,Vacheron Constantin,Overseas Chronograph,42.5,Stainless Steel,Silver,5520V/210A-B686,Calibre 5200,Smooth,Stainless Steel,,DATE.BLK ; CHRONO.BLK.FULL ; SS.BLK.FULL,ST/S ; RUB/TXT/BLK ; LTH/CLF/BLK,Folding Clasp,Stainless Steel,$35 600,Indices,White Gold and White,,,,
VC/OS.CHR/BLK,Vacheron Constantin,Overseas Chronograph,42.5,Stainless Steel,Black,5520V/210A-B481,Calibre 5200,Smooth,Stainless Steel,,DATE.SIL ; CHRONO.SIL ; SS.SIL.FULL,ST/S ; RUB/TXT/BLK ; LTH/CLF/BLK,Folding Clasp,Stainless Steel,$35 600,Indices,White Gold and White,,,,
VC/OS.DT/RG/GRN,Vacheron Constantin,Overseas Dual Time,42.5,Rose Gold,Green,7920V/210R-B965,Calibre 5110 DT/2,Smooth,Rose Gold,,DATE.OGRN ; GMT.OGRN,RG/S ; RUB/TXT/OGRN ; LTH/CLF/OGRN,Folding Clasp,Rose Gold,$75 500,Indices,Rose Gold and White,,,,
VC/OS.DT/ST/BLU,Vacheron Constantin,Overseas Dual Time,42.5,Stainless Steel,Blue,7920V/210A-B334,Calibre 5110 DT/2,Smooth,Stainless Steel,,DATE.BLU ; GMT.BLU,ST/S ; RUB/TXT/BLU ; LTH/CLF/BLU,Folding Clasp,Stainless Steel,$30 900,Indices,White Gold and White,,,,
VC/OS.DT/ST/SIL,Vacheron Constantin,Overseas Dual Time,42.5,Stainless Steel,Silver,7920V/210A-B333,Calibre 5110 DT/2,Smooth,Stainless Steel,,DATE.SIL ; GMT.SIL,ST/S ; RUB/TXT/BLK ; LTH/CLF/BLK,Folding Clasp,Stainless Steel,$30 900,Indices,White Gold and White,,,,
VC/OS.DT/ST/BLK,Vacheron Constantin,Overseas Dual Time,42.5,Stainless Steel,Black,7920V/210A-B546,Calibre 5110 DT/2,Smooth,Stainless Steel,,DATE.BLK ; GMT.BLK,ST/S ; RUB/TXT/BLK ; LTH/CLF/BLK,Folding Clasp,Stainless Steel,$30 900,Indices,White Gold and White,,,,
VC/OS/RG/GRN,Vacheron Constantin,Overseas,42.5,Rose Gold,Green,4520V/210R-B967,Calibre 5100,Smooth,Rose Gold,,DATE.WHT,RG/S ; RUB/TXT/OGRN ; LTH/CLF/OGRN,Folding Clasp,Rose Gold,$60 500,Indices,Rose Gold and White,,,,
VC/OS/RG/BLU,Vacheron Constantin,Overseas,42.5,Rose Gold,Blue,4520V/210R-B705,Calibre 5100,Smooth,Rose Gold,,DATE.WHT,RG/S ; RUB/TXT/BLU ; LTH/CLF/BLU,Folding Clasp,Rose Gold,$60 500,Indices,Rose Gold and White,,,,
